external_id,import_class,primary_name,display_name,class_code,source_type_hint,source_category_hint,lat,lng,confidence_score,source_hash,source_refs
osm:node:13111750811,safe_new,ရဲချောင်း,ရဲချောင်း,village,village,settlement,16.7145475,96.1525719,80.00,bf7f5d08405218166b508bfd90593a91,"{""place"": ""village"", ""osm_id"": ""13111750811"", ""raw_id"": 561, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:13111750811"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:13111750692,safe_new,ကြည်စု,ကြည်စု,village,village,settlement,16.6492927,96.139196,80.00,e1d4125822d4141dc63d13689cc78cf1,"{""place"": ""village"", ""osm_id"": ""13111750692"", ""raw_id"": 656, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:13111750692"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:7124017060,safe_new,ညောင်ချောင်း,ညောင်ချောင်း,village,village,settlement,16.6333235,96.2215303,80.00,c01916fc4039d081a95c94e449bdc30a,"{""place"": ""village"", ""osm_id"": ""7124017060"", ""raw_id"": 665, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:7124017060"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:13179568417,safe_new,မကျည်းတန်း (မြောက်/အရှေ့) ရပ်ကွက်,မကျည်းတန်း (မြောက်/အရှေ့) ရပ်ကွက်,quarter,quarter,settlement,16.8131713,96.1240827,80.00,f20b48202519375280a04a41a0999711,"{""place"": ""quarter"", ""osm_id"": ""13179568417"", ""raw_id"": 13872, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:13179568417"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:13115760841,safe_new,သန္ဒေပင်,သန္ဒေပင်,village,village,settlement,17.0631463,96.1287297,80.00,2303b81e2d0ed3ddab1ae0cb9004fd1c,"{""place"": ""village"", ""osm_id"": ""13115760841"", ""raw_id"": 21735, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:13115760841"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19669539,safe_new,Industrial Zone,Industrial Zone,quarter,quarter,settlement,16.91946275,96.32917917299923,80.00,54f2bc7eba946769c93feff7698561ec,"{""place"": ""quarter"", ""osm_id"": ""19669539"", ""raw_id"": 15276, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19669539"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19705169,safe_new,ဆိပ်ကြီး (အရှေ့) ရပ်ကွက်,ဆိပ်ကြီး (အရှေ့) ရပ်ကွက်,quarter,quarter,settlement,16.76235285,96.11771660866637,80.00,23fe9f135de7d4d6552f963938073622,"{""place"": ""quarter"", ""osm_id"": ""19705169"", ""raw_id"": 75138, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19705169"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19669761,safe_new,မြို့သစ် (က/ခ) ရပ်ကွက်,မြို့သစ် (က/ခ) ရပ်ကွက်,quarter,quarter,settlement,16.8741919,96.1006042026181,80.00,39d6e25a09dcf74c93412c550876d467,"{""place"": ""quarter"", ""osm_id"": ""19669761"", ""raw_id"": 79687, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19669761"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:7124017062,safe_new,ဓနုတ်,ဓနုတ်,village,village,settlement,16.614323,96.2190434,80.00,97d9d794f3e4fe6bef49c420632f05b0,"{""place"": ""village"", ""osm_id"": ""7124017062"", ""raw_id"": 538, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:7124017062"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:13111750808,safe_new,ဓနုတ်စံပြ,ဓနုတ်စံပြ,village,village,settlement,16.617894,96.2168912,80.00,c6a8f6f8ee8e26b9557a3a50d1164a0c,"{""place"": ""village"", ""osm_id"": ""13111750808"", ""raw_id"": 540, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:13111750808"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19705195,safe_new,အံ့ကြီးအနောက် (ပျဉ်းမကုန်း) ရပ်ကွက်,အံ့ကြီးအနောက် (ပျဉ်းမကုန်း) ရပ်ကွက်,quarter,quarter,settlement,16.747530400000002,96.16415372446099,80.00,a70ef3ad0b0e9a95328aa330ae618870,"{""place"": ""quarter"", ""osm_id"": ""19705195"", ""raw_id"": 14877, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19705195"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19669470,safe_new,ရွာသာကြီး (အရှေ့ပိုင်း) ရပ်ကွက်,ရွာသာကြီး (အရှေ့ပိုင်း) ရပ်ကွက်,quarter,quarter,settlement,16.93023205,96.26367399038361,80.00,353a3c320c0b7b01ea899acd27ed4eda,"{""place"": ""quarter"", ""osm_id"": ""19669470"", ""raw_id"": 15310, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19669470"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19662921,safe_new,မိချောင်းကန်အမှတ် (၃) ရပ်ကွက်,မိချောင်းကန်အမှတ် (၃) ရပ်ကွက်,quarter,quarter,settlement,16.832004249999997,96.17705177217854,80.00,a388744c8bea498ae461c8acef54f9c9,"{""place"": ""quarter"", ""osm_id"": ""19662921"", ""raw_id"": 39179, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19662921"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19705172,safe_new,ခနောင်တို (အနောက်) ရပ်ကွက်,ခနောင်တို (အနောက်) ရပ်ကွက်,quarter,quarter,settlement,16.7586752,96.09925220846154,80.00,68256cb735de0379da743c70f402edcb,"{""place"": ""quarter"", ""osm_id"": ""19705172"", ""raw_id"": 75355, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19705172"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:node:13179733882,safe_new,အမှတ် (၂) ရပ်ကွက်,အမှတ် (၂) ရပ်ကွက်,quarter,quarter,settlement,16.8347507,96.1203088,80.00,c606f4eb52b911aebef3602aff807907,"{""place"": ""quarter"", ""osm_id"": ""13179733882"", ""raw_id"": 14157, ""raw_table"": ""raw_osm_points"", ""population"": null, ""external_id"": ""osm:node:13179733882"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""N"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19705214,safe_new,ကျန်းမာရေးဝန်ထမ်းအိမ်ရာရပ်ကွက်,ကျန်းမာရေးဝန်ထမ်းအိမ်ရာရပ်ကွက်,quarter,quarter,settlement,16.763104249999998,96.1338179951997,80.00,e1aba40b1eaa2bcd2fe830b32e4e0c75,"{""place"": ""quarter"", ""osm_id"": ""19705214"", ""raw_id"": 61339, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19705214"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19659099,safe_new,ဂျမား (၁) ရပ်ကွက် (ဗိုလ်ချို(၁)ရပ်ကွက်),ဂျမား (၁) ရပ်ကွက် (ဗိုလ်ချို(၁)ရပ်ကွက်),quarter,quarter,settlement,16.80181485,96.15992673233177,80.00,f95b40e36195c5aee063af54df2316c5,"{""place"": ""quarter"", ""osm_id"": ""19659099"", ""raw_id"": 68400, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19659099"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19659177,safe_new,ဗျိုင်းရေအိုးစဉ်ကွက်သစ်ရပ်ကွက်,ဗျိုင်းရေအိုးစဉ်ကွက်သစ်ရပ်ကွက်,quarter,quarter,settlement,16.80642015,96.17314178923289,80.00,f04fc586e89a5da02721d2eabf5e87f8,"{""place"": ""quarter"", ""osm_id"": ""19659177"", ""raw_id"": 68979, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19659177"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19659008,safe_new,စမ်းချောင်း (မြောက်) ရပ်ကွက်,စမ်းချောင်း (မြောက်) ရပ်ကွက်,quarter,quarter,settlement,16.802694199999998,96.13259715983158,80.00,13e7fde5aa421915fc64f91d72f20073,"{""place"": ""quarter"", ""osm_id"": ""19659008"", ""raw_id"": 72003, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19659008"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19659001,safe_new,မုန့်လုပ်ဆောင်းကုန်း (တောင်) ရပ်ကွက်,မုန့်လုပ်ဆောင်းကုန်း (တောင်) ရပ်ကွက်,quarter,quarter,settlement,16.8115294,96.13259368341537,80.00,95080da023089985259c8465e6adbc9b,"{""place"": ""quarter"", ""osm_id"": ""19659001"", ""raw_id"": 73428, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19659001"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
osm:relation:19658933,safe_new,စက်ဆန်းအောက်ရုံအလတ်ချောင်းရပ်ကွက်,စက်ဆန်းအောက်ရုံအလတ်ချောင်းရပ်ကွက်,quarter,quarter,settlement,16.8079815,96.11185726325974,80.00,8af637d33aad4b146706b4f994cb54fb,"{""place"": ""quarter"", ""osm_id"": ""19658933"", ""raw_id"": 74122, ""raw_table"": ""raw_osm_polygons"", ""population"": null, ""external_id"": ""osm:relation:19658933"", ""region_code"": ""MM-YANGON"", ""osm_feature_type"": ""R"", ""snapshot_version"": ""osm_myanmar_2026_07_21_yangon_city_v1"", ""source_snapshot_id"": 9, ""source_classification"": ""settlement""}"
